captured_at_utc,event_title,event_url,market_id,market_slug,outcome_label,unit,lower_bound,upper_bound,initial_yes_midpoint,initial_yes_bid,initial_yes_ask,initial_no_midpoint,initial_no_bid,initial_no_ask,yes_midpoint,yes_bid,yes_ask,no_midpoint,no_bid,no_ask,spread
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040481,highest-temperature-in-chengdu-on-april-23-2026-21corbelow,"Will the highest temperature in Chengdu be 21°C or below on April 23?",C,,21.0,0.035,0.02,0.05,,,,0.035,0.02,0.05,,,,0.03
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040482,highest-temperature-in-chengdu-on-april-23-2026-22c,"Will the highest temperature in Chengdu be 22°C on April 23?",C,22.0,22.0,0.035,0.02,0.05,,,,0.035,0.02,0.05,,,,0.03
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040483,highest-temperature-in-chengdu-on-april-23-2026-23c,"Will the highest temperature in Chengdu be 23°C on April 23?",C,23.0,23.0,0.16,0.03,0.29,,,,0.16,0.03,0.29,,,,0.26
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040484,highest-temperature-in-chengdu-on-april-23-2026-24c,"Will the highest temperature in Chengdu be 24°C on April 23?",C,24.0,24.0,0.18,0.03,0.33,,,,0.18,0.03,0.33,,,,0.3
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040485,highest-temperature-in-chengdu-on-april-23-2026-25c,"Will the highest temperature in Chengdu be 25°C on April 23?",C,25.0,25.0,0.205,0.03,0.38,,,,0.205,0.03,0.38,,,,0.35
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040486,highest-temperature-in-chengdu-on-april-23-2026-26c,"Will the highest temperature in Chengdu be 26°C on April 23?",C,26.0,26.0,0.21,0.03,0.39,,,,0.21,0.03,0.39,,,,0.36
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040487,highest-temperature-in-chengdu-on-april-23-2026-27c,"Will the highest temperature in Chengdu be 27°C on April 23?",C,27.0,27.0,0.23,0.07,0.39,,,,0.23,0.07,0.39,,,,0.32
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040488,highest-temperature-in-chengdu-on-april-23-2026-28c,"Will the highest temperature in Chengdu be 28°C on April 23?",C,28.0,28.0,0.23,0.07,0.39,,,,0.23,0.07,0.39,,,,0.32
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040489,highest-temperature-in-chengdu-on-april-23-2026-29c,"Will the highest temperature in Chengdu be 29°C on April 23?",C,29.0,29.0,0.205,0.03,0.38,,,,0.205,0.03,0.38,,,,0.35
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040490,highest-temperature-in-chengdu-on-april-23-2026-30c,"Will the highest temperature in Chengdu be 30°C on April 23?",C,30.0,30.0,0.185,0.03,0.34,,,,0.185,0.03,0.34,,,,0.31
2026-04-21T04:17:28+00:00,"Highest temperature in Chengdu on April 23?",https://polymarket.com/event/highest-temperature-in-chengdu-on-april-23-2026,2040491,highest-temperature-in-chengdu-on-april-23-2026-31corhigher,"Will the highest temperature in Chengdu be 31°C or higher on April 23?",C,31.0,,0.255,0.03,0.48,,,,0.255,0.03,0.48,,,,0.45
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040668,highest-temperature-in-lagos-on-april-23-2026-28corbelow,"Will the highest temperature in Lagos be 28°C or below on April 23?",C,,28.0,0.04,0.03,0.05,,,,0.04,0.03,0.05,,,,0.02
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040669,highest-temperature-in-lagos-on-april-23-2026-29c,"Will the highest temperature in Lagos be 29°C on April 23?",C,29.0,29.0,0.135,0.03,0.24,,,,0.135,0.03,0.24,,,,0.21
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040670,highest-temperature-in-lagos-on-april-23-2026-30c,"Will the highest temperature in Lagos be 30°C on April 23?",C,30.0,30.0,0.17,0.03,0.31,,,,0.17,0.03,0.31,,,,0.28
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040671,highest-temperature-in-lagos-on-april-23-2026-31c,"Will the highest temperature in Lagos be 31°C on April 23?",C,31.0,31.0,0.2,0.03,0.37,,,,0.2,0.03,0.37,,,,0.34
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040672,highest-temperature-in-lagos-on-april-23-2026-32c,"Will the highest temperature in Lagos be 32°C on April 23?",C,32.0,32.0,0.205,0.03,0.38,,,,0.205,0.03,0.38,,,,0.35
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040673,highest-temperature-in-lagos-on-april-23-2026-33c,"Will the highest temperature in Lagos be 33°C on April 23?",C,33.0,33.0,0.21,0.04,0.38,,,,0.21,0.04,0.38,,,,0.34
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040674,highest-temperature-in-lagos-on-april-23-2026-34c,"Will the highest temperature in Lagos be 34°C on April 23?",C,34.0,34.0,0.205,0.03,0.38,,,,0.205,0.03,0.38,,,,0.35
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040675,highest-temperature-in-lagos-on-april-23-2026-35c,"Will the highest temperature in Lagos be 35°C on April 23?",C,35.0,35.0,0.2,0.03,0.37,,,,0.2,0.03,0.37,,,,0.34
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040676,highest-temperature-in-lagos-on-april-23-2026-36c,"Will the highest temperature in Lagos be 36°C on April 23?",C,36.0,36.0,0.17,0.03,0.31,,,,0.17,0.03,0.31,,,,0.28
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040677,highest-temperature-in-lagos-on-april-23-2026-37c,"Will the highest temperature in Lagos be 37°C on April 23?",C,37.0,37.0,0.135,0.03,0.24,,,,0.135,0.03,0.24,,,,0.21
2026-04-21T04:17:28+00:00,"Highest temperature in Lagos on April 23?",https://polymarket.com/event/highest-temperature-in-lagos-on-april-23-2026,2040678,highest-temperature-in-lagos-on-april-23-2026-38corhigher,"Will the highest temperature in Lagos be 38°C or higher on April 23?",C,38.0,,0.04,0.03,0.05,,,,0.04,0.03,0.05,,,,0.02
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040733,highest-temperature-in-manila-on-april-23-2026-29corbelow,"Will the highest temperature in Manila be 29°C or below on April 23?",C,,29.0,0.385,0.03,0.52,,,,0.385,0.03,0.52,,,,0.49
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040734,highest-temperature-in-manila-on-april-23-2026-30c,"Will the highest temperature in Manila be 30°C on April 23?",C,30.0,30.0,0.04,0.03,0.05,,,,0.04,0.03,0.05,,,,0.02
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040735,highest-temperature-in-manila-on-april-23-2026-31c,"Will the highest temperature in Manila be 31°C on April 23?",C,31.0,31.0,0.365,0.03,0.49,,,,0.365,0.03,0.49,,,,0.46
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040736,highest-temperature-in-manila-on-april-23-2026-32c,"Will the highest temperature in Manila be 32°C on April 23?",C,32.0,32.0,0.365,0.03,0.7,,,,0.365,0.03,0.7,,,,0.67
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040737,highest-temperature-in-manila-on-april-23-2026-33c,"Will the highest temperature in Manila be 33°C on April 23?",C,33.0,33.0,0.365,0.03,0.7,,,,0.365,0.03,0.7,,,,0.67
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040738,highest-temperature-in-manila-on-april-23-2026-34c,"Will the highest temperature in Manila be 34°C on April 23?",C,34.0,34.0,0.385,0.07,0.7,,,,0.385,0.07,0.7,,,,0.63
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040739,highest-temperature-in-manila-on-april-23-2026-35c,"Will the highest temperature in Manila be 35°C on April 23?",C,35.0,35.0,0.385,0.07,0.7,,,,0.385,0.07,0.7,,,,0.63
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040740,highest-temperature-in-manila-on-april-23-2026-36c,"Will the highest temperature in Manila be 36°C on April 23?",C,36.0,36.0,0.365,0.03,0.7,,,,0.365,0.03,0.7,,,,0.67
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040741,highest-temperature-in-manila-on-april-23-2026-37c,"Will the highest temperature in Manila be 37°C on April 23?",C,37.0,37.0,0.365,0.03,0.7,,,,0.365,0.03,0.7,,,,0.67
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040742,highest-temperature-in-manila-on-april-23-2026-38c,"Will the highest temperature in Manila be 38°C on April 23?",C,38.0,38.0,0.36,0.03,0.69,,,,0.36,0.03,0.69,,,,0.66
2026-04-21T04:17:28+00:00,"Highest temperature in Manila on April 23?",https://polymarket.com/event/highest-temperature-in-manila-on-april-23-2026,2040743,highest-temperature-in-manila-on-april-23-2026-39corhigher,"Will the highest temperature in Manila be 39°C or higher on April 23?",C,39.0,,0.385,0.03,0.74,,,,0.385,0.03,0.74,,,,0.71
2026-04-21T04:17:28+00:00,"Highest temperature in San Francisco on April 23?",https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-23-2026,2040547,highest-temperature-in-san-francisco-on-april-23-2026-47forbelow,"Will the highest temperature in San Francisco be 47°F or below on April 23?",F,,47.0,0.035,0.02,0.05,,,,0.035,0.02,0.05,,,,0.03
2026-04-21T04:17:28+00:00,"Highest temperature in San Francisco on April 23?",https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-23-2026,2040557,highest-temperature-in-san-francisco-on-april-23-2026-66forhigher,"Will the highest temperature in San Francisco be 66°F or higher on April 23?",F,66.0,,0.27,0.04,0.5,,,,0.27,0.04,0.5,,,,0.46
2026-04-21T04:17:28+00:00,"Highest temperature in San Francisco on April 23?",https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-23-2026,2040548,highest-temperature-in-san-francisco-on-april-23-2026-48-49f,"Will the highest temperature in San Francisco be between 48-49°F on April 23?",F,,,0.12,0.03,0.21,,,,0.12,0.03,0.21,,,,0.18
2026-04-21T04:17:28+00:00,"Highest temperature in San Francisco on April 23?",https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-23-2026,2040549,highest-temperature-in-san-francisco-on-april-23-2026-50-51f,"Will the highest temperature in San Francisco be between 50-51°F on April 23?",F,,,0.135,0.03,0.24,,,,0.135,0.03,0.24,,,,0.21
